"Oct 6 2025",,,
Company,Gross,Net,Corp
"Walt Disney Pictures","$42.36","$42.36","LBI"
"Walt Disney Pictures","$1,204.19","$1,204.19","LBI"
"Lionsgate","$13.88","$13.88","LBI"
"Walt Disney Pictures","$1,190.51","$1,190.51","EML"
"Walt Disney Pictures","$35.90","$22.44","LehBod"
"Universal City Studios LLC","$5.31","$5.31","LBI"
"They Productions Inc.","$10.31","$10.31","EML"
"UPTOWN PRODUCTIONS, INC. (NY)","$17.29","$17.29","EML"
"Walt Disney Pictures","$29.33","$29.33","EML"
"Twentieth Century Fox Film Corporation","$505.97","$505.97","EML"
"Twentieth Century Fox Film Corporation","$485.40","$485.40","LBI"
"Zoetrope Corporation","$30.00","$18.77","LehBod"
"Zoetrope Corporation","$15.00","$9.38","LehBod"
"Universal City Studios LLC","$38.07","$38.07","EML"
"Twentieth Century Fox Film Corporation","$25.44","$25.44","EML"
,,"$1,751.14", LBI
,,"$1,816.92", EML
,,"$50.59", LehBod
