"Jul 10 2025",,,
Company,Gross,Net,Corp
Warner Bros. Pictures Inc.,"$5.43","$5.43",EML
Warner Bros. Pictures Inc.,"$785.53","$785.53",EML
Walt Disney Pictures,"$35.30","$35.30",EML
Walt Disney Pictures,"$176.75","$176.75",LBI
Walt Disney Pictures,"$11.25","$11.25",EML
Warner Bros. Pictures Inc.,"$277.89","$277.89",LBI
Walt Disney Pictures,"$11.17","$6.99",LehBod
Walt Disney Pictures,"$6,041.60","$6,041.60",LBI
Universal City Studios LLC,"$102.74","$102.74",LBI
Universal City Studios LLC,"$2.99","$1.86",LehBod
Universal City Studios LLC,"$1.80","$1.80",EML
Universal City Studios LLC,"$0.79","$0.79",EML
Universal City Studios LLC,"$1.29","$1.29",EML
,,"$841.39", EML
,,"$6,598.98", LBI
,,"$8.85", LehBod
