"Oct 14 2025",,,
Company,Gross,Net,Corp
"Twentieth Century Fox Film Corporation","$488.99","$488.99","EML"
"Twentieth Century Fox Film Corporation","$0.12","$0.12","LBI"
"Twentieth Century Fox Film Corporation","$32.76","$32.76","LBI"
"Twentieth Century Fox Film Corporation","$109.73","$109.73","LBI"
"Twentieth Century Fox Film Corporation","$121.50","$121.50","EML"
"Walt Disney Pictures","$42.36","$42.36","LBI"
"Netflix Studios, LLC","$1,060.61","$1,060.61","LBI"
"Twentieth Century Fox Film Corporation","$0.07","$0.07","EML"
"UPTOWN PRODUCTIONS, INC. (NY)","$17.29","$17.29","EML"
"Walt Disney Pictures","$1,190.51","$1,190.51","EML"
"Walt Disney Pictures","$35.90","$22.44","LehBod"
"Walt Disney Pictures","$1,204.19","$1,204.19","LBI"
"Walt Disney Pictures","$48.20","$48.20","LBI"
"Twentieth Century Fox Film Corporation","$25.44","$25.44","EML"
"Twentieth Century Fox Film Corporation","$485.40","$485.40","LBI"
"Twentieth Century Fox Film Corporation","$505.97","$505.97","EML"
,,"$2,349.77", EML
,,"$2,983.37", LBI
,,"$22.44", LehBod
