"Jul 10 2025",,,
Company,Gross,Net,Corp
"Netflix Studios, LLC","$168.60","$168.60","LBI"
"SPE Inc. On Behalf of CPT Hold","$31.59","$31.59","LBI"
"SPE Inc. On Behalf of CPT Hold","$60.76","$60.76","EML"
"SPE Inc. On Behalf of CPT Hold","$128.60","$128.60","EML"
"SPE Inc. On Behalf of CPT Hold","$16.20","$16.20","LBI"
"Netflix Studios, LLC","$33.72","$33.72","LBI"
"SPE Inc. On Behalf of CPT Hold","$185.10","$185.10","EML"
"SPE Inc. On Behalf of CPT Hold","$40.83","$40.83","LBI"
"Universal City Studios LLC","$25.88","$25.88","EML"
"Universal City Studios LLC","$69.16","$69.16","LBI"
"SPE Inc. On Behalf of CPT Hold","$12.95","$12.95","EML"
"SPE Inc. On Behalf of CPT Hold","$1,204.74","$1,204.74","EML"
"Home Box Office, Inc.","$19.84","$19.84","EML"
"Universal City Studios LLC","$36.61","$36.61","EML"
"Universal City Studios LLC","$60.00","$60.00","EML"
"Universal City Studios LLC","$248.31","$248.31","EML"
"Universal City Studios LLC","$1,292.03","$1,292.03","LBI"
"Warner Bros. Pictures Inc.","$106.69","$106.69","EML"
"Warner Bros. Pictures Inc.","$9.34","$7.88","LehBod"
"Warner Bros. Pictures Inc.","$86.77","$86.77","LBI"
"Universal City Studios LLC","$11.96","$11.96","EML"
"Universal City Studios LLC","$66.05","$66.05","EML"
"Universal City Studios LLC","$510.35","$510.35","EML"
"Warner Bros. Pictures Inc.","$237.15","$237.15","EML"
"Warner Bros. Pictures Inc.","$95.90","$95.90","LBI"
,,"$1,834.8", LBI
,,"$2,914.99", EML
,,"$7.88", LehBod
