"Jul 10 2025",,,
Company,Gross,Net,Corp
"FAIRLY ODD PRODUCTIONS TWO INC.","$0.13","$0.13","EML"
"MGM","$17.66","$17.66","LBI"
"Warner Bros. Pictures Inc.","$25.15","$25.15","EML"
"UPTOWN PRODUCTIONS INC (CA)","$16.56","$16.56","EML"
"UPTOWN PRODUCTIONS INC (CA)","$20.43","$20.43","EML"
"UPTOWN PRODUCTIONS, INC. (NY)","$0.19","$0.19","EML"
"Alien Productions","$10.97","$10.97","EML"
"Alien Productions","$9.30","$9.30","EML"
"UPTOWN PRODUCTIONS, INC. (NY)","$45.43","$45.43","EML"
"Warner Bros. Pictures Inc.","$392.16","$392.16","EML"
"Warner Bros. Pictures Inc.","$45.33","$45.33","EML"
"They Productions Inc.","$0.96","$0.96","EML"
"They Productions Inc.","$1.10","$1.10","EML"
"Warner Bros. Pictures Inc.","$785.53","$785.53","EML"
"FAIRLY ODD PRODUCTIONS","$2.38","$2.38","EML"
"Paramount Pictures Corporation","$64.44","$64.44","EML"
"Paramount Pictures Corporation","$397.47","$397.47","EML"
"Paramount Pictures Corporation","$42.08","$42.08","LBI"
"Warner Bros. Pictures Inc.","$5.43","$5.43","EML"
"Warner Bros. Pictures Inc.","$237.15","$237.15","EML"
"Warner Bros. Pictures Inc.","$95.90","$95.90","LBI"
"Warner Bros. Pictures Inc.","$106.69","$106.69","EML"
"Warner Bros. Pictures Inc.","$9.34","$7.88","LehBod"
"Warner Bros. Pictures Inc.","$86.77","$86.77","LBI"
"Warner Bros. Pictures Inc.","$117.71","$117.71","EML"
"Warner Bros. Pictures Inc.","$1,541.17","$1,541.17","LBI"
,,"$2,284.51", EML
,,"$1,783.58", LBI
,,"$7.88", LehBod
