"Jul 10 2025",,,
Company,Gross,Net,Corp
"Universal City Studios LLC","$11.22","$11.22","LBI"
"Universal City Studios LLC","$5.49","$5.49","EML"
"Universal City Studios LLC","$7.26","$7.26","EML"
"Universal City Studios LLC","$10.00","$10.00","EML"
"Universal City Studios LLC","$21.37","$21.37","EML"
"Universal City Studios LLC","$29.03","$29.03","EML"
"Universal City Studios LLC","$23.63","$23.63","LBI"
"SPE Inc. On Behalf of CPT Hold","$60.76","$60.76","EML"
"SPE Inc. On Behalf of CPT Hold","$128.60","$128.60","EML"
"SPE Inc. On Behalf of CPT Hold","$16.20","$16.20","LBI"
"SPE Inc. On Behalf of CPT Hold","$31.59","$31.59","LBI"
"SPE Inc. On Behalf of CPT Hold","$12.95","$12.95","EML"
"SPE Inc. On Behalf of CPT Hold","$1,204.74","$1,204.74","EML"
"Metro-Goldwyn-Mayer Pictures Inc.","$19.81","$19.81","EML"
"Universal City Studios LLC","$510.35","$510.35","EML"
"Universal City Studios LLC","$66.05","$66.05","EML"
"Universal City Studios LLC","$11.96","$11.96","EML"
"Universal City Studios LLC","$25.88","$25.88","EML"
"Universal City Studios LLC","$69.16","$69.16","LBI"
"SPE Inc. On Behalf of CPT Hold","$185.10","$185.10","EML"
"SPE Inc. On Behalf of CPT Hold","$40.83","$40.83","LBI"
"Netflix Studios, LLC","$168.60","$168.60","LBI"
,,"$361.23", LBI
,,"$2,299.35", EML
