"Oct 1 2025",,,
Company,Gross,Net,Corp
"Universal City Studios LLC","$38.07","$38.07","EML"
"They Productions Inc.","$10.31","$10.31","EML"
"Miramax Film NY, LLC","$0.70","$0.70","EML"
"Twentieth Century Fox Film Corporation","$25.44","$25.44","EML"
"Home Box Office, Inc.","$11.09","$11.09","LBI"
"Walt Disney Pictures","$29.33","$29.33","EML"
"Universal City Studios LLC","$5.31","$5.31","LBI"
"Miramax Film NY, LLC","$2.65","$2.65","EML"
"Miramax Film NY, LLC","$19.29","$12.07","LehBod"
"Miramax Film NY, LLC","$2.34","$2.34","EML"
"Miramax Film NY, LLC","$33.54","$33.54","EML"
"Miramax Film NY, LLC","$7.13","$7.13","EML"
"Metro-Goldwyn-Mayer Pictures Inc.","$19.81","$19.81","EML"
"Walt Disney Pictures","$42.36","$42.36","LBI"
"Walt Disney Pictures","$1,190.51","$1,190.51","EML"
"Walt Disney Pictures","$35.90","$22.44","LehBod"
"Walt Disney Pictures","$1,204.19","$1,204.19","LBI"
,,"$1,359.83", EML
,,"$1,262.95", LBI
,,"$34.51", LehBod
