"Jan 6 2026",,,
Company,Gross,Net,Corp
"Miramax Film NY, LLC","$0.70","$0.70","EML"
"SPE Inc. On Behalf of CPT Hold","$906.64","$906.64","EML"
"Warner Bros. Pictures Inc.","$59.14","$59.14","EML"
"Zoetrope Corporation","$45.00","$28.15","LehBod"
"Walt Disney Pictures","$0.91","$0.91","LBI"
"Walt Disney Pictures","$24.67","$24.67","LBI"
"Walt Disney Pictures","$1,185.95","$1,185.95","LBI"
"Walt Disney Pictures","$1,213.75","$1,213.75","EML"
"Walt Disney Pictures","$13.19","$8.26","LehBod"
"Warner Bros. Pictures Inc.","$61.53","$61.53","EML"
"Warner Bros. Pictures Inc.","$75.43","$75.43","LBI"
"Warner Bros. Pictures Inc.","$120.78","$120.78","LBI"
"Warner Bros. Pictures Inc.","$68.37","$68.37","EML"
"Warner Bros. Pictures Inc.","$9.22","$7.79","LehBod"
"Warner Bros. Pictures Inc.","$102.95","$102.95","EML"
,,"$2,413.08", EML
,,"$44.2", LehBod
,,"$1,407.74", LBI
