"Jul 10 2025",,,
Company,Gross,Net,Corp
"Home Box Office, Inc.","$19.84","$19.84","EML"
"SPE Inc. On Behalf of CPT Hold","$40.83","$40.83","LBI"
"Universal City Studios LLC","$60.00","$60.00","EML"
"Universal City Studios LLC","$248.31","$248.31","EML"
"Universal City Studios LLC","$1,292.03","$1,292.03","LBI"
"SPE Inc. On Behalf of CPT Hold","$185.10","$185.10","EML"
"Universal City Studios LLC","$36.61","$36.61","EML"
"Warner Bros. Pictures Inc.","$237.15","$237.15","EML"
"Warner Bros. Pictures Inc.","$95.90","$95.90","LBI"
"Warner Bros. Pictures Inc.","$106.69","$106.69","EML"
"Warner Bros. Pictures Inc.","$9.34","$7.88","LehBod"
"Warner Bros. Pictures Inc.","$86.77","$86.77","LBI"
"Warner Bros. Pictures Inc.","$117.71","$117.71","EML"
"Warner Bros. Pictures Inc.","$1,541.17","$1,541.17","LBI"
,,"$1,011.41", EML
,,"$3,056.7", LBI
,,"$7.88", LehBod
