"Jul 10 2025",,,
Company,Gross,Net,Corp
"Lock and Key, LLC","$9.15","$9.15","EML"
"UPTOWN PRODUCTIONS INC (CA)","$16.56","$16.56","EML"
"Warner Bros. Pictures Inc.","$95.90","$95.90","LBI"
"UPTOWN PRODUCTIONS, INC. (NY)","$0.19","$0.19","EML"
"Warner Bros. Pictures Inc.","$237.15","$237.15","EML"
"UPTOWN PRODUCTIONS INC (CA)","$20.43","$20.43","EML"
"Warner Bros. Pictures Inc.","$1,541.17","$1,541.17","LBI"
"Warner Bros. Pictures Inc.","$45.33","$45.33","EML"
"Home Box Office, Inc.","$5.82","$5.82","EML"
"Warner Bros. Pictures Inc.","$117.71","$117.71","EML"
"FAIRLY ODD PRODUCTIONS TWO INC.","$0.13","$0.13","EML"
"UPTOWN PRODUCTIONS, INC. (NY)","$45.43","$45.43","EML"
"Warner Bros. Pictures Inc.","$25.15","$25.15","EML"
"Paramount Pictures Corporation","$64.44","$64.44","EML"
"Paramount Pictures Corporation","$397.47","$397.47","EML"
"Paramount Pictures Corporation","$42.08","$42.08","LBI"
"Warner Bros. Pictures Inc.","$106.69","$106.69","EML"
"Warner Bros. Pictures Inc.","$86.77","$86.77","LBI"
"Warner Bros. Pictures Inc.","$9.34","$7.88","LehBod"
,,"$1,091.65", EML
,,"$1,765.92", LBI
,,"$7.88", LehBod
