"Jul 10 2025",,,
Company,Gross,Net,Corp
Walt Disney Pictures,"$176.75","$176.75",LBI
Walt Disney Pictures,"$3,464.00","$3,464.00",LBI
Studiocanal (US),"$9.89","$9.89",EML
Walt Disney Pictures,"$993.98","$993.98",EML
Walt Disney Pictures,"$25.09","$15.69",LehBod
Twentieth Century Fox Film Corporation,"$437.17","$437.17",EML
Twentieth Century Fox Film Corporation,"$93.87","$93.87",LBI
Warner Bros. Pictures Inc.,"$277.89","$277.89",LBI
Universal City Studios LLC,"$3.22","$3.22",EML
Walt Disney Pictures,"$48.20","$48.20",LBI
Universal City Studios LLC,"$18.04","$18.04",LBI
Universal City Studios LLC,"$6.35","$6.35",EML
Twentieth Century Fox Film Corporation,"$152.97","$152.97",LBI
Twentieth Century Fox Film Corporation,"$662.71","$662.71",EML
Walt Disney Pictures,"$11.25","$11.25",EML
Walt Disney Pictures,"$11.17","$6.99",LehBod
Walt Disney Pictures,"$35.30","$35.30",EML
,,"$4,231.72", LBI
,,"$2,159.87", EML
,,"$22.68", LehBod
