"Dec 29 2025",,,
Company,Gross,Net,Corp
"SPE Inc. On Behalf of CPT Hold","$906.64","$906.64","EML"
"Walt Disney Pictures","$0.91","$0.91","LBI"
"Walt Disney Pictures","$24.67","$24.67","LBI"
"Walt Disney Pictures","$1,213.75","$1,213.75","EML"
"Walt Disney Pictures","$13.19","$8.26","LehBod"
"Walt Disney Pictures","$1,185.95","$1,185.95","LBI"
"Warner Bros. Pictures Inc.","$61.53","$61.53","EML"
"Warner Bros. Pictures Inc.","$75.43","$75.43","LBI"
"Warner Bros. Pictures Inc.","$68.37","$68.37","EML"
"Warner Bros. Pictures Inc.","$120.78","$120.78","LBI"
"Warner Bros. Pictures Inc.","$9.22","$7.79","LehBod"
"Warner Bros. Pictures Inc.","$102.95","$102.95","EML"
"Warner Bros. Pictures Inc.","$59.14","$59.14","EML"
"Warner Bros. Pictures Inc.","$577.72","$577.72","LBI"
,,"$2,412.38", EML
,,"$1,985.46", LBI
,,"$16.05", LehBod
