"Jul 10 2025",,,
Company,Gross,Net,Corp
"Warner Bros. Pictures Inc.","$117.71","$117.71","EML"
"Home Box Office, Inc.","$19.84","$19.84","EML"
"Warner Bros. Pictures Inc.","$1,541.17","$1,541.17","LBI"
"Paramount Pictures Corporation","$397.47","$397.47","EML"
"Paramount Pictures Corporation","$42.08","$42.08","LBI"
"Paramount Pictures Corporation","$64.44","$64.44","EML"
"Home Box Office, Inc.","$5.82","$5.82","EML"
"Warner Bros. Pictures Inc.","$106.69","$106.69","EML"
"Warner Bros. Pictures Inc.","$9.34","$7.88","LehBod"
"Warner Bros. Pictures Inc.","$86.77","$86.77","LBI"
"Warner Bros. Pictures Inc.","$237.15","$237.15","EML"
"Warner Bros. Pictures Inc.","$95.90","$95.90","LBI"
,,"$949.12", EML
,,"$1,765.92", LBI
,,"$7.88", LehBod
